curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
32,quadratic,25,25,0.2238460354118551,0.04396479464088297,-152.5810477999621,-148.92442032535752,"0.0716928,0.000986179,-2.19246e-06",Acinetobacter.clacoaceticus.2,15,TSB,OD_595
32,cubic,25,25,0.2238460354118551,0.009758296016373694,-188.21283267884957,-183.33732937937677,"0.0349888,0.00276203,-1.27002e-05,1.52438e-08",Acinetobacter.clacoaceticus.2,15,TSB,OD_595
32,logistic,25,25,0.2238460354118551,0.040370475078310944,-154.71331002379773,-151.05668254919314,"0.150461,0.140405,12.8098",Acinetobacter.clacoaceticus.2,15,TSB,OD_595
32,gompertz,25,25,0.2238460354118551,0.03983744884494805,-155.04559270501585,-151.38896523041126,"0.150234,0.117907,7.85407",Acinetobacter.clacoaceticus.2,15,TSB,OD_595
33,quadratic,23,22,0.2537652637527333,0.028265987322227147,-148.1365763130888,-144.73009366530135,"0.0655592,0.00141315,-2.91199e-06",Stenotrophomonas.maltophilia.1,15,TSB,OD_595
33,cubic,23,22,0.2537652637527333,0.0057457075873323426,-182.78031778483677,-178.23834092112017,"0.0208157,0.00305016,-1.2154e-05,1.31621e-08",Stenotrophomonas.maltophilia.1,15,TSB,OD_595
33,logistic,23,22,0.2537652637527333,0.03163967977180564,-145.54326188027161,-142.13677923248417,"0.195191,0.0822228,27.7199",Stenotrophomonas.maltophilia.1,15,TSB,OD_595
33,gompertz,23,22,0.2537652637527333,0.032084181669287684,-145.22238648978166,-141.8159038419942,"0.19519,0.0594639,18.8312",Stenotrophomonas.maltophilia.1,15,TSB,OD_595
34,quadratic,23,23,0.3252438515024207,0.048606533815706565,-135.66830524494182,-132.26182259715438,"0.0741742,0.00185998,-3.97997e-06",Stenotrophomonas.maltophilia.2,15,TSB,OD_595
34,cubic,23,23,0.3252438515024207,0.005884706235661805,-182.2305314771507,-177.6885546134341,"0.0042624,0.00419733,-1.68918e-05,1.81392e-08",Stenotrophomonas.maltophilia.2,15,TSB,OD_595
34,logistic,23,23,0.3252438515024207,0.09826199685721093,-119.47907936258324,-116.0725967147958,"0.224421,0.0859397,32.7933",Stenotrophomonas.maltophilia.2,15,TSB,OD_595
34,gompertz,23,23,0.3252438515024207,0.09939472691631762,-119.21545993111312,-115.80897728332567,"0.224286,0.0621221,23.7436",Stenotrophomonas.maltophilia.2,15,TSB,OD_595
35,quadratic,32,31,0.7747229797793668,0.6176871504563418,-120.32029060916467,-115.9230829007655,"0.260528,0.0047288,-8.33602e-06",Klebsiella.pneumonia,15,TSB,OD_595
35,cubic,32,31,0.7747229797793668,0.30302090537758086,-141.1100602882251,-135.24711667702618,"0.190619,0.0095674,-3.79693e-05,4.35112e-08",Klebsiella.pneumonia,15,TSB,OD_595
35,logistic,32,31,0.7747229797793668,0.04382819084121403,-204.98284623764602,-200.58563852924684,"0.805489,0.269849,9.33353",Klebsiella.pneumonia,15,TSB,OD_595
35,gompertz,32,31,0.7747229797793668,0.03407923393055319,-213.03369467638322,-208.63648696798404,"0.809102,0.143924,7.40836",Klebsiella.pneumonia,15,TSB,OD_595
36,quadratic,25,25,0.6956340139062929,0.4672221907008005,-93.49565440612747,-89.83902693152287,"0.179074,0.00382232,-8.20084e-06",Dickeya.zeae,15,TSB,OD_595
36,cubic,25,25,0.6956340139062929,0.14580861542125462,-120.60840488352017,-115.73290158404737,"0.0323906,0.00971434,-4.21327e-05,4.87311e-08",Dickeya.zeae,15,TSB,OD_595
36,logistic,25,25,0.6956340139062929,0.3822577950771799,-98.51339666584603,-94.85676919124143,"0.515955,0.169606,23.4837",Dickeya.zeae,15,TSB,OD_595
